Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1947981991011.77,1945790973803.15,2078484517474.51,2501640388482.35,2814353869359.08,2846864211175.1,2994703642023.53,3425578382921.58,3357585719351.56,3469853463945.53,3690849152517.65,3974443355019.6,3889177589254.9,3887727161914.41,4278503934689.85,4082469490797.68,..
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.44026838719741,1.98385731334471,1.42080615551526,1.03422218628562,1.66573696655992,1.54691114751328,1.57742642840563,2.29834400700951,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,..
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.917,7.773,8.482,9.779,10.727,11.167,10.25,8.658,4.624,4.122,3.746,3.384,3.136,3.856,3.638,3.135,3.1
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,..
Germany,DEU,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-1.7404661031122,-0.364863756166508,1.91103265835049,1.43846913459741,4.53055764563467,4.67487148183906,5.79311003542774,6.88284344098742,8.57954112280744,8.61588144190826,7.8479532810537,7.97314517814193,8.1737650367032,7.09592361406872,7.71225299390024,4.22437171462558,..
Germany,DEU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,69171451627.2465,73557840064.489,95054059302.6995,104738954264.226,135764731645.611,175670569969.346,238454997161.48,278260846800.103,493026682800.63,404649125252.16,375745731053.427,421739251509.08,474517491092.913,432198898221.967,440838992188.478,472624597402.898,..
Nigeria,NGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.93329215565161,18.8736462093862,12.8765792031099,14.0317836131437,14.9980338183251,17.8634933661605,8.22522152017048,5.3880079685863,9.00943498007699,15.6968126387972,16.5022662139641,12.0951065173432,11.3964223378115,13.2460234276597,16.9528457221608,18.8471877843274,..
Nigeria,NGA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,4.311,7.06,8.389,..,10.695,..,..,3.821,..
Nigeria,NGA,"Population, total",SP.POP.TOTL,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,..
Nigeria,NGA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,10.7371768862312,3.36845503733351,1.13946817426016,3.23719691054246,12.4042052774237,20.7940448372854,15.3142425877272,9.93609280353569,-3.13140101186134,1.25472098152786,3.60982550121523,1.72693303668361,-2.88402835745397,-3.69874324218125,-0.738174986320455,0.215519643217474,..
Nigeria,NGA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1211331651829.85,1339400897153.44,1470557654824.11,1660280543870.95,1955346768757.64,2285961149904.26,2752118657221.64,3550327803024.69,11061572618594.8,11233313730288.5,12310491333980.9,13894907857925.9,14279968506242.8,14687744162801,17820459508852.2,17963171479205.3,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.347811226864587,0.719125609120114,-0.731970902350244,1.12760348729637,3.82463743108159,1.77641407667571,1.6494309945586,4.81676767378834,1.43702380935655,2.00000182191943,1.59313600071436,2.07479039965576,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,..
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.707,3.6,4,4.3,4.2,4.2,4.1,4,..,..,3.9,4.93,5.15,5.61,5.11,..,..
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,..
China,CHN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.69386988022684,1.29916293448672,2.40874595181268,2.59303061884704,3.5257664671093,5.79093366359019,8.42416588601843,9.94788923254984,2.64901137604042,1.70330002825515,1.53264496925769,0.173667284671728,0.720658984390609,1.69417196526513,1.98022814428178,2.23710724518328,..
China,CHN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/30/2024,,,,,,,,,,,,,,,,,,,,
