Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,10250947997000,10581929774000,10929112955000,11456442041000,12217193198000,13039199193000,13815586948000,14474226905000,14769857911000,14478064934000,15048964444000,15599728123000,16253972230000,16843190993000,17550680174000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,25439700000000
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070404,2.85267248150138,3.839100296651,-0.355546266299747,1.6400434423899,3.156841568622,2.06933726526067,1.46483265562717,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.26554767048013,2.25295235878073,1.55853138907887,1.97359931687618,2.68440804151825,3.13582406672013,3.08558293163451,2.70252656886151,1.91793297784062,0.640954732672782,1.20179162538872,2.0777138203681,1.87059552937039,1.75094977881791,1.86989137220993,1.00054163291141,1.00223548021816,1.89961013996167,2.40405859264381,1.79393050089551,1.30491207120562,4.4927922357685,7.04072309182631
United States,USA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.813343318339,19.657274659967,18.3808512938917,17.4287269368118,17.7331647694224,18.1224549531276,19.1997488777268,17.427949807313,15.0588110826952,13.8930513792376,15.383257822255,16.3373295989846,18.3792918907922,18.6046397105057,19.721013463213,19.7947209402226,18.6676935456278,19.1103747200543,19.3477324863759,19.6369145011531,18.8497280400643,18.1599243850093,18.583147600011
United States,USA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.92088614748242,-3.72407498836611,-4.17333961025019,-4.55898086099347,-5.20485343641858,-5.74598170416952,-5.91101922107059,-5.08872774231253,-4.71586121002055,-2.62283669627863,-2.87064270506825,-2.91862137859132,-2.57236812074952,-2.01538414033942,-2.10805505161045,-2.2434721228246,-2.11937229657855,-1.88739358215214,-2.14216028970484,-2.06607966606092,-2.83538257957979,-3.56615967017701,-3.81920384281261
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,349125000000,172496000000,111055000000,117106000000,213641000000,142344000000,298463000000,346613000000,341092000000,161083000000,264039000000,263497000000,250345000000,288131000000,251856000000,511434000000,474388000000,380823000000,214715000000,315984000000,138363000000,493085000000,388078000000
United States,USA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,67.074,66.824,66.582,66.244,65.994,66.047,66.179,66.04,65.994,65.37,64.706,64.109,63.701,63.249,62.885,62.651,62.786,62.851,62.871,63.1,61.746,61.659,62.236
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1665534876683.31,1649827263567.01,1785729916067.15,2054422857142.86,2421525082387.4,2543180000000,2708441582336.71,3090510204081.63,2929411764705.88,2412840006231.5,2485482596184.71,2663805834828.07,2707089726614.64,2784853502534.29,3064708247921.43,2927911140916.73,2689106566899.61,2680148052335.3,2871340347581.79,2851407164907.81,2697806592293.86,3141506156618.7,3089072722400.14
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.18295624210408,1.53234960272418,1.52040245947455,1.37650038542013,1.39039756680422,2.0891364902507,2.4556616643929,2.38656150773327,3.52140856342539,1.96173173560109,2.49265472467066,3.8561124468282,2.5732347965453,2.29166666666659,1.45112016293279,0.36804684232536,1.0084173681141,2.55775577557747,2.29283990345938,1.73810460086513,0.989486703772491,2.51837109614213,7.92204883147902
United Kingdom,GBR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.14388786538939,1.50534861378814,2.12273820234752,2.39277613949882,2.62009638067519,2.9353281399213,2.78683364495735,2.25251537935698,3.40328007531652,1.89111193473404,1.58374132668224,2.18918472084017,1.53880362771224,2.11706397502103,1.31777821360919,0.660990521413524,1.96479827407785,1.85654104667935,1.92205239358366,2.11573274293868,5.08362342906076,-0.120427085491656,5.15290229876841
United Kingdom,GBR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,16.5886991014274,16.5240216584058,16.3811417054504,16.1186112942871,15.4723844236668,15.9936384511215,15.2658064278965,14.9160651384004,13.7089979329487,11.9025830347078,13.410002436171,14.3024781713069,12.9149029058058,11.9135958463683,12.7009560485373,12.9240720172424,12.4845682487876,14.9906366956537,14.2538751305031,15.688148312009,14.7038527775218,17.459136378272,16.7298032962466
